	SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002-mock3-indexG3	CoV002-mock2-indexG2	CoV002-mock1-indexG1	CoV002-CoV2-3-indexG6	CoV002-CoV2-2-indexG5	CoV002-CoV2-1-indexG4	svRNA184-mock-3-indexF3	svRNA184-mock-1-indexF1	svRNA184-RSV-3-indexH9	svRNA184-RSV-1-indexF4	3_9_mock1_13	3_9_mock2_14	3_9_wt1_15	3_9_wt2_16
THAP3	70	80	125	110	76	226	220	143	124	231	266	191	362	278	107	91	61	105	67	22
DNAJC11	942	760	1497	979	882	2847	826	477	440	978	965	743	408	382	127	102	177	336	340	73
CAMTA1	200	196	382	190	192	620	423	225	190	638	491	371	655	505	331	110	84	160	226	58
VAMP3	1627	1366	2414	1279	1405	3847	1560	858	625	2396	1520	1160	1262	1225	464	230	310	701	975	237
PER3	135	123	216	95	84	224	112	61	54	129	84	65	72	95	17	6	53	73	99	20
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	7	10	8	6	5	14	85	35	22	97	75	64	37	34	24	14	6	20	11	9
PARK7	1780	1560	2592	1525	1676	4824	4414	2450	1778	5614	4557	3275	5464	3828	1537	1063	862	1819	2167	446
ERRFI1	1721	1520	2666	1732	2079	5900	2096	1182	898	3397	2546	1906	2622	3369	1456	771	360	786	828	214
SLC45A1	4	3	3	5	0	10	106	57	50	131	145	114	530	324	251	162	19	31	9	4
RERE	1095	1046	1396	998	898	2542	1361	714	605	1284	1173	986	1134	998	388	252	203	401	343	122
ENO1	28567	23784	37550	29550	25434	77130	66913	38709	27759	79137	72971	49545	46519	38273	15846	13668	10838	19577	16027	5951
ENO1-AS1	0	0	4	0	1	0	3	1	0	0	0	3	4	3	1	0	0	1	1	0
CA6	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SLC2A7	0	0	0	0	0	0	2	1	0	1	0	1	2	3	0	0	0	1	0	0
SLC2A5	18	19	21	9	12	24	5	1	1	3	1	3	2	5	8	2	1	1	0	0
GPR157	56	63	95	108	43	153	76	44	31	91	81	64	25	31	15	9	16	22	7	9
MIR34A	1	2	6	4	2	3	5	4	4	10	5	3	10	5	4	1	0	2	0	0
H6PD	434	427	620	370	342	997	1597	839	641	1674	1512	1244	1288	1181	390	274	242	417	197	69
SPSB1	678	692	1030	591	559	1633	932	531	405	975	992	734	712	600	333	242	130	268	123	33
SLC25A33	13	16	31	23	17	53	162	83	55	205	161	150	108	95	35	16	30	60	99	20
TMEM201	63	64	82	73	55	148	417	202	148	396	374	354	287	209	77	51	47	118	52	21
PIK3CD	317	262	479	347	314	944	351	214	162	407	409	321	325	236	99	80	69	137	82	39
C1orf200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN1	8324	7861	11675	7746	6743	19880	3507	2042	1572	4161	3596	2795	3244	2242	858	662	630	1194	852	283
CTNNBIP1	409	344	585	307	276	960	242	162	95	342	262	192	233	215	53	47	53	76	37	21
LZIC	375	297	556	251	319	935	499	238	187	697	525	349	190	179	87	32	97	174	182	41
NMNAT1	393	351	629	378	398	1212	142	83	62	212	136	121	132	143	31	21	25	80	52	11
RBP7	4	5	21	11	13	29	31	17	5	52	65	31	3	6	4	1	0	1	5	1
UBE4B	1043	960	1512	798	872	2300	1107	590	466	1189	971	824	740	692	210	122	280	494	556	126
KIF1B	1414	1241	2051	1152	1249	3612	1286	668	587	1636	1239	1014	815	772	200	170	331	599	597	182
PGD	3237	2446	3899	2659	2946	8597	35948	21109	15266	43364	38277	27327	30531	24921	10585	7771	7734	14719	12681	2942
APITD1-CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APITD1	0	0	0	3	0	3	24	6	6	40	11	12	20	26	1	4	5	4	7	3
CORT	1	0	0	0	0	0	6	5	3	5	5	3	28	11	1	1	3	1	1	0
DFFA	939	711	1277	840	745	2146	670	362	286	856	727	623	513	450	131	104	152	284	335	58
PEX14	358	415	563	446	299	923	301	170	132	390	336	245	467	287	109	81	77	137	56	20
CASZ1	306	343	426	299	211	705	149	96	64	146	138	98	125	86	47	25	17	23	13	4
C1orf127	0	0	0	2	3	1	0	0	0	1	0	0	5	1	0	0	0	2	0	1
TARDBP	2368	1940	3578	1735	2070	5865	3928	2075	1568	5511	4002	3166	2116	1839	601	392	822	1561	2257	437
MASP2	1	0	1	0	0	3	15	7	6	29	23	16	55	59	22	7	2	9	12	6
SRM	336	318	458	394	325	1167	1274	677	488	1162	1200	920	2435	1447	736	451	198	351	298	150
EXOSC10	1153	933	1506	920	993	2997	1676	1010	739	2252	1856	1461	1416	1167	515	340	390	667	1342	235
MTOR	1444	1243	1994	1318	1262	4177	1817	975	779	2085	1877	1392	1152	908	341	270	367	680	623	163
MTOR-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBIAD1	175	188	250	166	175	505	468	308	223	525	444	353	439	356	91	66	82	150	82	44
PTCHD2	4	18	7	15	10	19	4	1	2	1	2	3	5	15	6	3	2	3	0	0
FBXO2	753	716	1150	938	581	1825	143	78	77	214	174	176	628	527	339	280	29	47	19	10
FBXO44	410	431	580	421	357	1052	458	286	194	554	539	423	1403	1069	485	328	107	187	75	19
FBXO6	114	80	142	108	84	313	198	102	71	239	214	164	231	141	127	104	36	88	28	8
MAD2L2	100	93	134	112	81	219	504	316	231	602	618	459	653	401	226	124	115	229	210	60
DRAXIN	1	0	0	0	0	1	1	2	0	1	3	1	0	0	1	0	1	0	0	0
AGTRAP	600	715	907	689	460	1569	1117	670	487	1280	1225	853	1516	1117	676	442	196	372	62	59
MTHFR	264	233	383	232	221	645	499	265	233	525	491	331	616	486	130	100	110	195	87	26
CLCN6	197	184	315	212	206	553	614	325	271	643	548	424	508	420	170	110	121	206	189	46
NPPA-AS1	4	7	3	6	7	12	15	4	1	16	12	5	11	10	7	1	3	7	14	3
NPPA	0	1	0	0	0	6	6	2	2	8	10	1	13	14	1	5	2	2	0	0
NPPB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
KIAA2013	512	515	694	534	392	1210	1397	754	629	1461	1399	1127	1713	1243	432	315	225	412	243	79
PLOD1	2445	2258	3490	2614	2022	6241	2656	1606	1198	3284	3188	2381	4084	2843	1151	924	434	873	609	248
MFN2	2974	2513	4102	2861	2477	7177	2103	1108	844	2253	2058	1574	946	695	250	203	419	709	610	192
MIIP	117	131	156	120	110	323	318	202	135	317	373	247	494	302	179	94	57	120	43	23
TNFRSF8	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	2
TNFRSF1B	0	0	0	0	2	0	6	1	4	10	6	6	6	4	3	3	0	2	0	3
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	1828	1679	2676	1575	1595	4519	931	481	435	1065	874	679	511	481	173	103	201	312	329	79
SNORA59B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	2125	2051	3004	1911	1797	4586	2556	1478	1081	2842	2495	1910	3273	2561	1696	1200	314	601	408	179
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC440563	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
PRAMEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	3	0
PDPN	1073	941	1617	1107	1163	3350	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PRDM2	1020	926	1319	791	848	2549	462	280	209	634	484	400	254	254	68	38	87	198	242	46
KAZN	127	175	249	158	143	408	75	45	47	104	95	63	58	47	18	12	18	37	39	11
TMEM51-AS1	43	57	67	59	40	138	25	11	11	22	18	18	18	20	13	9	4	7	8	3
TMEM51	207	225	383	275	246	812	770	483	385	946	799	643	632	523	225	175	122	279	212	52
FHAD1	2	0	1	2	0	6	20	16	9	21	17	15	24	21	5	3	6	7	8	0
EFHD2	1058	1051	1496	1546	1021	3404	5758	3292	2656	5690	5761	4464	1767	1336	1270	825	642	1249	745	324
CTRC	0	0	0	0	1	0	1	1	0	1	0	0	5	0	1	0	1	0	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	2	3	1	4	1	4	2	4	0	1	0	0	2	1
CASP9	111	86	123	85	73	244	338	210	154	377	410	276	369	284	98	70	70	119	72	43
DNAJC16	430	490	901	387	396	1205	392	198	178	525	411	321	292	302	103	46	85	153	203	35
AGMAT	25	12	25	9	6	46	283	150	129	369	312	227	245	230	30	23	54	94	52	17
DDI2	92	71	140	75	57	274	105	56	63	124	104	73	4	8	3	1	26	38	35	15
RSC1A1	95	78	174	85	86	262	61	25	18	83	55	40	44	40	25	7	16	25	60	15
PLEKHM2	1003	993	1340	1068	797	2434	1336	695	558	1332	1265	971	1060	872	342	197	191	323	244	101
SLC25A34	4	16	11	13	8	31	13	13	6	21	15	8	56	29	13	6	2	5	7	2
TMEM82	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
FBLIM1	2738	2359	3579	2589	2431	7088	775	468	341	992	870	743	770	597	265	182	116	208	90	74
UQCRHL	77	64	127	81	66	200	156	69	65	168	181	84	184	123	47	54	21	53	131	11
FLJ37453	8	14	25	16	15	36	126	82	50	116	125	85	110	104	32	11	22	60	35	17
SPEN	2419	2036	3321	2197	2038	6206	1785	913	784	1875	1629	1337	635	618	331	189	350	613	992	212
ZBTB17	189	230	320	324	179	648	328	225	183	387	408	304	514	348	203	114	60	115	134	19
C1orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSPB7	1	4	3	1	1	6	0	0	1	0	2	0	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	3	3	0	1	0	0	0	7	5	3	2	0	0	0	0
CLCNKB	1	2	0	0	0	0	2	1	0	5	0	1	3	1	1	0	0	0	0	0
FAM131C	15	28	33	18	12	55	139	75	61	132	141	107	183	130	74	50	24	44	16	9
EPHA2	1887	1841	2616	2745	1948	6368	4566	2597	1938	5336	5186	4203	3286	2410	1253	922	725	1226	1173	568
ARHGEF19	75	90	99	89	36	173	171	88	64	206	216	171	205	168	89	91	26	47	44	22
RSG1	25	24	29	8	11	52	58	32	13	56	48	31	26	24	10	5	10	20	2	3
FBXO42	262	197	344	189	223	605	298	197	145	403	349	247	314	214	83	56	73	129	85	17
SZRD1	1803	1680	2782	1937	1552	4873	2843	1720	1246	3134	2916	2277	2216	1727	595	376	446	854	491	134
SPATA21	0	0	0	0	0	0	0	0	0	1	1	1	9	7	0	3	1	0	0	1
NECAP2	875	726	1159	933	865	2470	968	607	456	1244	1072	764	401	366	195	128	149	315	189	73
CROCCP3	25	21	30	18	14	50	136	55	52	107	93	93	243	154	45	30	13	35	33	6
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1	313	332	526	273	318	840	982	476	419	1137	925	687	291	316	156	51	275	463	459	104
CROCCP2	54	83	97	76	52	145	517	289	226	503	495	366	656	477	238	105	87	139	100	31
MST1P2	13	12	24	16	12	42	46	25	17	48	38	42	262	179	78	43	5	12	5	6
ESPNP	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0
MST1L	4	9	8	11	5	11	7	9	5	16	16	8	76	41	21	7	0	5	1	0
CROCC	69	83	130	86	74	186	464	232	192	447	452	345	908	616	239	161	77	129	65	20
MFAP2	879	872	1102	907	794	2352	0	1	0	0	0	0	0	0	0	0	0	0	2	0
ATP13A2	737	745	992	973	644	2175	1274	628	539	1190	1207	866	578	398	222	125	145	250	110	64
SDHB	955	828	1343	950	879	2853	1733	951	708	2457	1864	1436	1602	1291	423	332	308	748	933	226
PADI2	38	37	67	55	46	143	142	74	53	185	159	117	66	99	30	25	39	57	68	19
PADI1	297	334	455	305	318	1045	108	55	50	101	88	78	81	53	10	7	16	47	27	8
PADI3	453	459	604	242	217	836	63	54	45	89	91	65	60	40	39	27	35	66	60	20
